N,H,W,C,cudnn_ms,v0_ms,v1_ms,v2_ms,v1_over_v0,v2_over_v1,v2_vs_cudnn
1,56,56,64,0.01643615961074829,0.004250240027904511,0.014404159784317017,0.0144051194190979,0.2950703193762189,0.9999333823793498,1.1409943321231821
8,56,56,128,0.10043647766113281,0.046228160858154295,0.014404799938201904,0.014406399726867676,3.2092192225145735,0.9998889529170298,6.97165701114211
8,112,112,128,0.28991519927978515,0.14333600044250489,0.05730688095092774,0.06583807945251464,2.5012005201477367,0.8704215163545287,4.403457720677969
8,56,56,256,0.18266239166259765,0.061551361083984374,0.020554559230804445,0.05138720035552979,2.994535683924536,0.39999375503227946,3.554628203109363
8,28,28,512,0.09784992218017578,0.020676798820495605,0.013172160387039184,0.01701472043991089,1.5697348204809782,0.7741626101679382,5.750898025374095
16,56,56,128,0.18121856689453125,0.061560959815979005,0.020547521114349366,0.05139328002929688,2.9960285463820693,0.39980949070843885,3.526114052094498
